Nama Tempat,Kategori Tempat,Wilayah,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC
Tempat Wisata Alam Cikole,Cagar Alam,Lembang,4.6,22,20000,0.7272727272727266,0.42307692307692313,0.05333333333333334,0.9466666666666667,0.6798927738927736,0.91414921734455,28.628592011500356,A
Bumi Perkemahan Batu Kuda,Cagar Alam,Kota Bandung,4.5,25,7500,0.6363636363636367,0.5384615384615384,0.02,0.98,0.6757202797202799,0.9085390940594901,29.537131105559844,A
Sudut Pandang Bandung,Taman Hiburan,Lembang,4.6,23,50000,0.7272727272727266,0.46153846153846156,0.13333333333333333,0.8666666666666667,0.6754312354312351,0.9081504598207477,30.44528156538059,A
Museum Mandala Wangsit Siliwangi,Budaya,Kota Bandung,4.4,29,10000,0.5454545454545459,0.6923076923076923,0.02666666666666667,0.9733333333333334,0.6750862470862473,0.907686606051928,31.35296817143252,A
Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Lembang,4.5,25,11000,0.6363636363636367,0.5384615384615384,0.029333333333333336,0.9706666666666667,0.6738536130536132,0.90602926907252,32.25899744050504,A
Curug Aseupan,Cagar Alam,Lembang,4.7,17,10000,0.8181818181818183,0.23076923076923073,0.02666666666666667,0.9733333333333334,0.672988344988345,0.9048658736739643,33.163863314179004,A
Tebing Karaton,Cagar Alam,Dago,4.5,25,15000,0.6363636363636367,0.5384615384615384,0.04,0.96,0.6717202797202799,0.90316089765884,34.06702421183785,A
Kawah Putih,Cagar Alam,Ciwidey,4.5,28,81000,0.6363636363636367,0.653846153846154,0.21600000000000003,0.784,0.6711356643356645,0.9023748535695141,34.96939906540736,A
Curug Cimahi,Cagar Alam,Lembang,4.6,21,15000,0.7272727272727266,0.3846153846153846,0.04,0.96,0.6710209790209787,0.9022206535328514,35.87161971894021,A
Jalan Braga,Budaya,Kota Bandung,4.7,16,0,0.8181818181818183,0.1923076923076923,0.0,1.0,0.6667832167832168,0.896522774129366,36.768142493069575,A
Selasar Sunaryo Art Space,Taman Hiburan,Kota Bandung,4.6,21,25000,0.7272727272727266,0.3846153846153846,0.06666666666666667,0.9333333333333333,0.6656876456876454,0.8950497249986512,37.663192218068225,A
Museum Pendidikan Nasional,Budaya,Kota Bandung,4.6,20,5000,0.7272727272727266,0.34615384615384615,0.013333333333333334,0.9866666666666667,0.6648158508158505,0.8938775539882531,38.55706977205648,A
Sanghyang Heuleut,Cagar Alam,Kota Bandung,4.4,28,10000,0.5454545454545459,0.653846153846154,0.02666666666666667,0.9733333333333334,0.6635477855477858,0.8921725779731293,39.44924235002961,A
Gua Pawon,Cagar Alam,Padalarang,4.5,24,10000,0.6363636363636367,0.5,0.02666666666666667,0.9733333333333334,0.662848484848485,0.8912323338471414,40.34047468387675,A
Taman Film,Budaya,Kota Bandung,4.3,31,0,0.4545454545454546,0.7692307692307692,0.0,1.0,0.6580419580419581,0.8847697225545185,41.225244406431266,A
Kyotoku Floating Market,Budaya,Lembang,4.5,31,175000,0.6363636363636367,0.7692307692307692,0.4666666666666667,0.5333333333333333,0.6556177156177158,0.8815102095844275,42.10675461601569,A
Wot Batu,Cagar Alam,Kota Bandung,4.7,17,50000,0.8181818181818183,0.23076923076923073,0.13333333333333333,0.8666666666666667,0.6516550116550117,0.8761821595371632,42.98293677555286,A
Lawangwangi Creative Space,Taman Hiburan,Kota Bandung,4.4,26,0,0.5454545454545459,0.5769230769230769,0.0,1.0,0.645804195804196,0.8683154503497322,43.85125222590259,A
Curug Anom,Cagar Alam,Lembang,4.6,19,20000,0.7272727272727266,0.3076923076923077,0.05333333333333334,0.9466666666666667,0.645277389277389,0.867607133108154,44.71885935901074,A
Museum Konferensi Asia Afrika,Budaya,Kota Bandung,4.6,18,0,0.7272727272727266,0.26923076923076916,0.0,1.0,0.6444055944055941,0.866434962097756,45.5852943211085,A
Kawah Rengganis Cibuni,Cagar Alam,Ciwidey,4.3,30,5000,0.4545454545454546,0.7307692307692308,0.013333333333333334,0.9866666666666667,0.6438368298368299,0.8656702302086197,46.45096455131712,A
Bukit Moko,Cagar Alam,Kota Bandung,4.5,23,25000,0.6363636363636367,0.46153846153846156,0.06666666666666667,0.9333333333333333,0.6433100233100235,0.8649619129670423,47.31592646428416,A
Perkebunan Teh Malabar,Cagar Alam,Pangalengan,4.4,26,5000,0.5454545454545459,0.5769230769230769,0.013333333333333334,0.9866666666666667,0.6431375291375293,0.8647299860826321,48.18065645036679,A
Curug Tilu Leuwi Opat,Cagar Alam,Lembang,4.4,26,10000,0.5454545454545459,0.5769230769230769,0.02666666666666667,0.9733333333333334,0.6404708624708626,0.8611445218155317,49.04180097218232,A
Observatorium Bosscha,Cagar Alam,Lembang,4.5,22,25000,0.6363636363636367,0.42307692307692313,0.06666666666666667,0.9333333333333333,0.6317715617715619,0.8494478848882436,49.891248857070565,A
Kawasan Punclut,Taman Hiburan,Dago,4.4,25,20000,0.5454545454545459,0.5384615384615384,0.05333333333333334,0.9466666666666667,0.6235990675990678,0.838459565202533,50.7297084222731,A
